epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
139,10956.8,0.30786,0.14492,0.003,0.97414,0.94611,0.96664,0.71986,0.76495,0.28073,0.01055,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
140,11036.1,0.30819,0.14296,0.00297,0.9826,0.94288,0.96687,0.7222,0.76476,0.28032,0.01052,0.002478,0.000826,0.002478,0.000826,0.002478,0.000826,0.002478,0.000826
141,11117.5,0.31358,0.11199,0.00388,0.97772,0.94639,0.96702,0.71988,0.76109,0.28301,0.01047,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
142,11195.5,0.29331,0.09868,0.00346,0.9758,0.94808,0.96703,0.71836,0.76328,0.28062,0.01042,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
143,11273.5,0.28433,0.09018,0.00337,0.97091,0.94853,0.96256,0.71781,0.76253,0.28121,0.01038,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628
144,11352.2,0.29332,0.09656,0.00325,0.97741,0.94669,0.96285,0.71722,0.76397,0.28299,0.01043,0.001686,0.000562,0.001686,0.000562,0.001686,0.000562,0.001686,0.000562
145,11430,0.28646,0.09341,0.00315,0.97452,0.94865,0.96279,0.71556,0.76467,0.28594,0.01046,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
146,11507.8,0.2759,0.08881,0.00307,0.98037,0.94964,0.96291,0.71708,0.7648,0.28333,0.01047,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
147,11584.2,0.26709,0.08647,0.00305,0.97478,0.94961,0.96135,0.71768,0.76349,0.28658,0.01047,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364
148,11660.8,0.27204,0.08659,0.00309,0.97122,0.95109,0.96092,0.71699,0.76286,0.28917,0.01044,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
149,11737.2,0.26956,0.0855,0.00299,0.97731,0.94946,0.96133,0.71778,0.76169,0.28847,0.01041,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232
150,11814.8,0.26269,0.08725,0.00285,0.97619,0.94929,0.96138,0.71708,0.76131,0.28769,0.01041,0.000498,0.000166,0.000498,0.000166,0.000498,0.000166,0.000498,0.000166
